scientific_name,name
Anarhynchus leschenaultii,オオメダイチドリ
Anarhynchus marginatus,シロビタイチドリ
Anarhynchus mongolus,メダイチドリ
Anarhynchus montanus,ミヤマチドリ
Anarhynchus nivosus,ユキチドリ
Anarhynchus obscurus,ニュージーランドチドリ
Anarhynchus pallidus,クリオビチドリ
Anarhynchus pecuarius,ヒメチドリ
Anarhynchus peronii,クロエリシロチドリ
Anarhynchus ruficapillus,アカエリシロチドリ
Anarhynchus sanctaehelenae,セントヘレナチドリ
Anarhynchus thoracicus,マダガスカルチドリ
Anarhynchus veredus,オオチドリ
Anarhynchus wilsonia,ウィルソンチドリ
Anas acuta,オナガガモ
Anas albogularis,アンダマンコガモ
Anas andium,アンデスコガモ
Anas aucklandica,クリイロコガモ
Anas bahamensis,ホオジロオナガガモ
Anas bernieri,シロスジコガモ
Anas capensis,アカハシコガモ
Anas carolinensis,アメリカコガモ
Anas castanea,アオクビコガモ
Anas chlorotis,チャイロコガモ
Anas crecca,コガモ
Anas diazi,メキシコガモ
Anas eatoni,イートンオナガガモ
Anas erythrorhyncha,アカハシオナガガモ
Anas flavirostris,キバシコガモ
Anas fulvigula,マダラガモ
Anas georgica,キバシオナガガモ
Anas gibberifrons,インドネシアコガモ
Anas gracilis,ハイイロコガモ
Anas laysanensis,レイサンマガモ
Anas luzonica,アカノドカルガモ
Anas melleri,マダガスカルガモ
Anas nesiotis,キャンベルコガモ
Anas platyrhynchos,マガモ
Anas poecilorhyncha,アカボシカルガモ
Anas rubripes,アメリカガモ
Anas sparsa,シラボシガモ
Anas superciliosa,マミジロカルガモ
Anas theodori,モーリシャスコガモ
Anas undulata,キバシガモ
Anas wyvilliana,ハワイマガモ
Anas zonorhyncha,カルガモ
Anastomus lamelligerus,クロスキハシコウ
Anastomus oscitans,スキハシコウ
Ancistrops strigilatus,カギハシカマドドリ
Andigena cucullata,キバシヤマオオハシ
Andigena hypoglauca,サンショクヤマオオハシ
Andigena laminirostris,イタハシヤマオオハシ
Andigena nigrirostris,ハシグロヤマオオハシ
Androdon aequatorialis,ハバシハチドリ
Andropadus importunus,ウスグロアオヒヨ
Androphobus viridis,セミドリチメドリ
Anhima cornuta,ツノサケビドリ
Anhinga anhinga,アメリカヘビウ
Anhinga melanogaster,アジアヘビウ
Anhinga novaehollandiae,オーストラリアヘビウ
Anhinga rufa,アフリカヘビウ
Anisognathus igniventris,アカハラヤマフウキンチョウ
Anisognathus lacrymosus,キボシヤマフウキンチョウ
Anisognathus melanogenys,コロンビアヤマフウキンチョウ
Anisognathus notabilis,クロアゴヤマフウキンチョウ
Anisognathus somptuosus,アオバネヤマフウキンチョウ
Anodorhynchus glaucus,ウミアオコンゴウインコ
Anodorhynchus hyacinthinus,スミレコンゴウインコ
Anodorhynchus leari,コスミレコンゴウインコ
Anomalospiza imberbis,カッコウハタオリ
Anopetia gounellei,オジロユミハチドリ
Anorrhinus austeni,アッサムサイチョウ
Anorrhinus galeritus,ムジサイチョウ
Anorrhinus tickelli,ビルマサイチョウ
Anous ceruleus,ハイイロアジサシ
Anous minutus,ヒメクロアジサシ
Anous stolidus,クロアジサシ
Anous tenuirostris,インドヒメクロアジサシ
Anser albifrons,マガン
Anser anser,ハイイロガン
Anser brachyrhynchus,コザクラバシガン
Anser caerulescens,ハクガン
Anser canagicus,ミカドガン
Anser cygnoides,サカツラガン
Anser erythropus,カリガネ
Anser fabalis,ヒシクイ
Anser indicus,インドガン
Anser rossii,ヒメハクガン
Anseranas semipalmata,カササギガン
Anthipes monileger,ノドジロヒタキ
